Energy,Magnetization
-24368.0,390.0
-33004.0,678.0
-36908.0,992.0
-39416.0,574.0
-41408.0,372.0
-43016.0,662.0
-44100.0,462.0
-45236.0,668.0
-45640.0,686.0
-46608.0,346.0
-46644.0,324.0
-46968.0,382.0
-47956.0,154.0
-48312.0,4.0
-48316.0,-370.0
-48472.0,-494.0
-48584.0,-194.0
-48792.0,-64.0
-49036.0,80.0
-49248.0,-152.0
-49488.0,-364.0
-49080.0,-478.0
-48864.0,-274.0
-48948.0,-76.0
-49564.0,222.0
-49992.0,150.0
-50088.0,226.0
-50020.0,96.0
-50004.0,-8.0
-50548.0,-250.0
-50304.0,-358.0
-50804.0,-370.0
-50820.0,-516.0
-50684.0,-388.0
-51284.0,-476.0
-51624.0,-462.0
-51784.0,-88.0
-51912.0,-154.0
-51632.0,-408.0
-51760.0,-788.0
-51576.0,-420.0
-51408.0,-368.0
-51680.0,-384.0
-51600.0,-354.0
-51936.0,-580.0
-52048.0,-98.0
-51844.0,-352.0
-51620.0,-436.0
-51696.0,-202.0
-51660.0,-184.0
-52060.0,-320.0
-51616.0,-600.0
-51428.0,-784.0
-52108.0,-524.0
-51636.0,-496.0
-52008.0,-624.0
-52388.0,-132.0
-52808.0,-54.0
-52856.0,-142.0
-52564.0,-444.0
-52460.0,-428.0
-52424.0,-270.0
-52228.0,-200.0
-51968.0,-92.0
-51968.0,-52.0
-52152.0,-80.0
-52088.0,86.0
-52084.0,78.0
-51544.0,104.0
-52312.0,366.0
-52488.0,82.0
-53108.0,58.0
-52252.0,-130.0
-52596.0,58.0
-52552.0,40.0
-52208.0,-2.0
-51772.0,-190.0
-52436.0,-160.0
-52224.0,-56.0
-52040.0,-186.0
-52676.0,-16.0
-52196.0,-212.0
-52840.0,-364.0
-53672.0,-344.0
-53640.0,-356.0
-53464.0,-300.0
-52904.0,-192.0
-53240.0,2.0
-52568.0,-136.0
-52044.0,24.0
-52032.0,8.0
-52644.0,208.0
-53028.0,392.0
-53008.0,180.0
-52924.0,150.0
-52212.0,306.0
-52388.0,338.0
-52532.0,464.0
-52564.0,532.0
-52244.0,548.0
-52440.0,788.0
-52536.0,604.0
-52576.0,758.0
-52896.0,556.0
-52720.0,594.0
-52984.0,376.0
-53112.0,290.0
-52604.0,340.0
-52904.0,552.0
-53256.0,364.0
-52396.0,420.0
-52572.0,584.0
-52672.0,692.0
-52684.0,910.0
-52712.0,1246.0
-52732.0,1302.0
-52396.0,1470.0
-52960.0,1416.0
-52700.0,1636.0
-53008.0,1362.0
-53080.0,1486.0
-53140.0,1560.0
-52924.0,1938.0
-52500.0,2176.0
-53056.0,2428.0
-52336.0,2170.0
-52616.0,2146.0
-53256.0,2128.0
-53172.0,2180.0
-53416.0,2504.0
-53728.0,2260.0
-54124.0,2476.0
-54212.0,2392.0
-54208.0,2508.0
-54460.0,2714.0
-53932.0,2532.0
-53808.0,2362.0
-53484.0,2290.0
-53692.0,2250.0
-53704.0,2104.0
-53256.0,2244.0
-53016.0,2142.0
-53056.0,2350.0
-53016.0,2386.0
-52756.0,2414.0
-53024.0,2346.0
-53168.0,2560.0
-53308.0,2532.0
-53276.0,2734.0
-53820.0,2670.0
-53852.0,2964.0
-53560.0,3280.0
-53580.0,3364.0
-53692.0,2946.0
-54136.0,3026.0
-54012.0,2776.0
-53768.0,2994.0
-53772.0,2796.0
-53572.0,3298.0
-53600.0,3204.0
-53804.0,3184.0
-53760.0,3216.0
-53596.0,3050.0
-53556.0,3284.0
-54144.0,3340.0
-54452.0,3308.0
