Energy,Magnetization
-4260.0,134.0
-4196.0,-78.0
-4172.0,118.0
-4280.0,26.0
-4116.0,-30.0
-4132.0,-154.0
-4504.0,112.0
-4264.0,44.0
-4240.0,-82.0
-4260.0,-182.0
-4208.0,-146.0
-4540.0,-290.0
-4508.0,-42.0
-4296.0,74.0
-4564.0,116.0
-4480.0,148.0
-4144.0,78.0
-4256.0,-166.0
-4268.0,-74.0
-4260.0,14.0
-4216.0,130.0
-4144.0,124.0
-4280.0,44.0
-4148.0,98.0
-4200.0,178.0
-4404.0,86.0
-4304.0,-174.0
-4292.0,-56.0
-4464.0,-242.0
-4376.0,-98.0
-4204.0,-96.0
-4124.0,-82.0
-4180.0,-94.0
-4264.0,-322.0
-4248.0,-124.0
-4172.0,-148.0
-4196.0,-150.0
-4328.0,-310.0
-4524.0,-80.0
-4564.0,-42.0
-4364.0,-260.0
-4112.0,-206.0
-4232.0,-10.0
-4296.0,-90.0
-4152.0,26.0
-4332.0,28.0
-4108.0,-220.0
-4292.0,-8.0
-4400.0,68.0
-4552.0,28.0
-4376.0,-34.0
-4320.0,-26.0
-4048.0,40.0
-4252.0,32.0
-4172.0,-358.0
-4208.0,-70.0
-4164.0,86.0
-4084.0,4.0
-4208.0,-58.0
-4104.0,2.0
-4264.0,-86.0
-4116.0,-32.0
-4236.0,-20.0
-4192.0,30.0
-4176.0,84.0
-4120.0,-212.0
-4588.0,-114.0
-4436.0,-72.0
-4156.0,-46.0
-4192.0,-70.0
-4128.0,94.0
-4300.0,18.0
-4164.0,-102.0
-4520.0,-34.0
-4264.0,34.0
-4016.0,-32.0
-4356.0,60.0
-4300.0,36.0
-4336.0,188.0
-4316.0,2.0
-4224.0,126.0
-4112.0,-86.0
-4284.0,-252.0
-4384.0,-304.0
-4268.0,-350.0
-4468.0,-396.0
-4640.0,-352.0
-4624.0,14.0
-4328.0,-176.0
-4292.0,-252.0
-4212.0,58.0
-4452.0,272.0
-4476.0,-158.0
-4120.0,-156.0
-4276.0,-202.0
-4300.0,-152.0
-4204.0,162.0
-4248.0,334.0
-4412.0,422.0
-4504.0,88.0
-4352.0,54.0
-4164.0,6.0
-4184.0,112.0
-4168.0,124.0
-4388.0,114.0
-4500.0,-4.0
-4240.0,-172.0
-4100.0,-120.0
-4016.0,10.0
-3912.0,-64.0
-4340.0,248.0
-4256.0,112.0
-4452.0,378.0
-4468.0,144.0
-4568.0,354.0
-4264.0,172.0
-4416.0,118.0
-4432.0,68.0
-4356.0,212.0
-4132.0,-146.0
-4272.0,96.0
-4572.0,28.0
-4184.0,-110.0
-4108.0,-104.0
-4364.0,114.0
-4476.0,10.0
-4372.0,-22.0
-4280.0,-182.0
-4316.0,-94.0
-4336.0,-54.0
-4060.0,-90.0
-4232.0,110.0
-3864.0,-10.0
-4304.0,-222.0
-4420.0,-122.0
-4056.0,-330.0
-4220.0,-300.0
-4256.0,-128.0
-4588.0,-230.0
-4144.0,14.0
-4372.0,84.0
-4156.0,-88.0
-4308.0,50.0
-4364.0,-64.0
-4264.0,-14.0
-4088.0,0.0
-4432.0,-42.0
-4288.0,0.0
-4432.0,52.0
-4056.0,-12.0
-4268.0,102.0
-4044.0,236.0
-4300.0,130.0
-4424.0,76.0
-4276.0,240.0
-4332.0,270.0
-4496.0,128.0
-4260.0,308.0
-4508.0,270.0
-4424.0,24.0
-4156.0,8.0
-4224.0,26.0
-4484.0,176.0
-4200.0,74.0
-4248.0,246.0
-4344.0,166.0
-4424.0,56.0
-4408.0,166.0
-4260.0,246.0
-4372.0,138.0
-4236.0,32.0
-4192.0,38.0
-4160.0,-142.0
-4420.0,40.0
