Energy,Magnetization
-25115.199999999648,1344.0
-33336.49999999951,1530.0
-37365.59999999903,2192.0
-40053.99999999827,3240.0
-42249.79999999792,3716.0
-43647.199999997436,4384.0
-44612.99999999712,4820.0
-45489.79999999641,5796.0
-45932.6999999959,6494.0
-47019.99999999539,7200.0
-47609.99999999507,7640.0
-48647.79999999481,7996.0
-48816.69999999439,8574.0
-48963.599999994054,9032.0
-49049.8999999935,9798.0
-49698.99999999319,10220.0
-50499.69999999254,11114.0
-50729.29999999217,11626.0
-50465.7999999921,11716.0
-50893.59999999193,11952.0
-51291.99999999184,12080.0
-51360.89999999159,12418.0
-51394.79999999121,12936.0
-51472.69999999095,13294.0
-52396.499999990665,13690.0
-53002.599999990285,14212.0
-53196.099999989914,14722.0
-53503.999999989566,15200.0
-53712.599999989034,15932.0
-54336.69999998868,16414.0
-54271.59999998858,16552.0
-54135.79999998823,17036.0
-54379.09999998783,17582.0
-55140.499999987405,18170.0
-55267.59999998742,18152.0
-55403.69999998707,18634.0
-54997.1999999867,19144.0
-55409.59999998634,19632.0
-55873.79999998622,19796.0
-55696.69999998606,20014.0
-56110.8999999858,20378.0
-56682.69999998557,20694.0
-57386.899999985275,21098.0
-57474.39999998499,21488.0
-57685.999999984764,21800.0
-57984.49999998455,22090.0
-57626.59999998435,22372.0
-57869.59999998413,22672.0
-57934.299999983945,22926.0
-58105.999999983775,23160.0
-58373.09999998361,23382.0
-58573.299999983436,23626.0
-58740.59999998339,23692.0
-59190.29999998307,24126.0
-59247.6999999827,24634.0
-59285.199999982564,24824.0
-59365.99999998232,25160.0
-59759.19999998213,25424.0
-58881.79999998232,25156.0
-58736.69999998222,25294.0
-59393.39999998198,25628.0
-59349.29999998192,25706.0
-59675.39999998183,25828.0
-60323.39999998154,26228.0
-59912.39999998153,26248.0
-60165.59999998128,26592.0
-60282.199999981094,26844.0
-60060.99999998105,26900.0
-60344.399999980946,27048.0
-59782.99999998085,27180.0
-60199.09999998056,27582.0
-60313.999999980515,27640.0
-60529.9999999804,27800.0
-60821.19999998018,28104.0
-60798.79999998021,28056.0
-60776.89999998012,28178.0
-60798.29999997999,28366.0
-60909.09999997983,28582.0
-60736.89999997995,28418.0
-61504.29999997967,28806.0
-61186.89999997963,28858.0
-61248.699999979544,28974.0
-61166.09999997958,28922.0
-61375.19999997939,29184.0
-61351.19999997933,29264.0
-60510.09999997958,28922.0
-60844.69999997943,29134.0
-61578.49999997917,29490.0
-61902.99999997893,29820.0
-61668.9999999789,29860.0
-61464.99999997896,29780.0
-61395.19999997887,29904.0
-61462.29999997882,29966.0
-61695.99999997868,30160.0
-61845.199999978606,30264.0
-61903.59999997869,30152.0
-62129.49999997854,30350.0
-62226.29999997847,30446.0
-62273.49999997843,30510.0
-62410.49999997824,30770.0
-62561.09999997814,30902.0
-62789.79999997796,31156.0
-63048.19999997786,31284.0
-62680.99999997785,31300.0
-62695.69999997781,31354.0
-62826.59999997783,31332.0
-62720.5999999778,31372.0
-63149.59999997761,31632.0
-63367.79999997752,31756.0
-63316.799999977564,31696.0
-63259.79999997758,31676.0
-63078.89999997753,31738.0
-62540.79999997768,31536.0
-62505.29999997773,31466.0
-62227.19999997788,31264.0
-62718.89999997765,31578.0
-62742.19999997766,31564.0
-62409.99999997784,31320.0
-62135.4999999777,31510.0
-62416.09999997769,31522.0
-62672.69999997762,31614.0
-62499.4999999777,31510.0
-62058.799999977826,31336.0
-62422.999999977765,31420.0
-62838.599999977596,31652.0
-62991.099999977414,31902.0
-63559.79999997711,32316.0
-63239.999999977226,32160.0
-62981.79999997726,32116.0
-63087.399999977235,32148.0
-63391.89999997717,32238.0
-63200.799999977215,32176.0
-63056.49999997728,32090.0
-63252.89999997733,32018.0
-62998.59999997742,31892.0
-62939.799999977346,31996.0
-62981.39999997744,31868.0
-62926.89999997742,31898.0
-62701.49999997738,31950.0
-63016.09999997734,32002.0
-63293.09999997727,32102.0
-63163.19999997724,32144.0
-63325.89999997714,32278.0
-63664.29999997705,32406.0
-63383.899999976995,32478.0
-63762.79999997701,32456.0
-63996.79999997681,32736.0
-63958.499999976666,32930.0
-64409.79999997656,33076.0
-64585.9999999765,33160.0
-64431.69999997653,33114.0
-64438.99999997654,33100.0
-64076.99999997657,33060.0
-64164.79999997663,32976.0
-64348.99999997663,32980.0
-64502.69999997655,33094.0
-63674.39999997684,32688.0
-63814.79999997678,32776.0
-63493.39999997686,32668.0
-63976.89999997675,32818.0
-63440.999999976804,32740.0
-63741.2999999768,32746.0
-63655.19999997683,32704.0
-63922.69999997672,32854.0
-64221.99999997667,32920.0
-64308.599999976635,32972.0
-63786.4999999769,32610.0
-63767.399999977,32468.0
-63900.899999976864,32658.0
-63801.99999997685,32680.0
-63809.59999997691,32592.0
-64047.89999997688,32638.0
-63954.99999997689,32620.0
-64084.59999997681,32732.0
-63894.4999999769,32610.0
-63656.79999997698,32496.0
-63772.49999997687,32650.0
-63386.39999997696,32528.0
-64190.29999997673,32846.0
-63717.1999999768,32744.0
-63924.19999997676,32804.0
-63865.99999997673,32840.0
-63188.89999997698,32498.0
-62927.09999997701,32462.0
-63390.69999997684,32694.0
-63897.69999997662,32994.0
-63885.89999997656,33078.0
-63812.19999997658,33044.0
-63933.8999999765,33158.0
-63990.39999997661,33008.0
-63734.89999997678,32778.0
-64005.299999976625,32986.0
-64214.09999997661,33002.0
-63934.69999997678,32774.0
-64011.59999997677,32792.0
-63181.79999997691,32596.0
-63605.69999997691,32594.0
-63210.69999997701,32454.0
-63563.399999976944,32548.0
-63783.499999976826,32710.0
-63261.899999976966,32518.0
-63499.399999976944,32548.0
-63378.199999976845,32684.0
-63562.299999976785,32766.0
-63667.29999997677,32786.0
-62699.299999976945,32546.0
-63558.79999997672,32856.0
-63790.399999976726,32848.0
-63413.3999999768,32748.0
-63511.89999997688,32638.0
-63497.89999997691,32598.0
-63792.799999976865,32656.0
-63668.099999976934,32562.0
-63713.599999976796,32752.0
-63663.39999997683,32708.0
-63462.599999976956,32532.0
-62794.799999977244,32136.0
-63152.09999997717,32242.0
-63486.09999997714,32282.0
-63307.99999997717,32240.0
-63131.599999977174,32232.0
-63006.799999977186,32216.0
-63222.099999977196,32202.0
-63373.499999977204,32190.0
-63188.4999999771,32330.0
-63139.69999997723,32154.0
-62563.49999997729,32070.0
-62457.49999997738,31950.0
-62966.699999977245,32134.0
-63230.199999977194,32204.0
-62822.699999977245,32134.0
-63038.49999997725,32130.0
-63243.89999997711,32318.0
-63266.49999997713,32290.0
-63430.29999997708,32366.0
-63137.69999997714,32274.0
-63420.499999977044,32410.0
-63098.79999997707,32376.0
-63038.29999997708,32366.0
-63022.59999997719,32212.0
-63289.799999977084,32356.0
-63127.59999997706,32392.0
-63270.99999997701,32460.0
-63146.69999997701,32454.0
-63115.899999976995,32478.0
-63415.99999997699,32480.0
-63390.69999997701,32454.0
-63865.99999997685,32680.0
-63309.19999997692,32584.0
-63549.79999997691,32596.0
-64225.39999997668,32908.0
-64305.79999997656,33076.0
-64356.099999976526,33122.0
-63956.99999997669,32900.0
-64403.19999997648,33184.0
-64266.39999997649,33168.0
-63995.79999997659,33036.0
-63618.29999997673,32846.0
-63934.89999997666,32938.0
-64206.09999997667,32922.0
-64314.29999997655,33086.0
-64055.09999997666,32942.0
-64016.89999997675,32818.0
-64114.09999997661,33002.0
-64055.49999997665,32950.0
-64308.699999976576,33054.0
-64047.9999999767,32880.0
-64191.29999997671,32866.0
-64210.69999997672,32854.0
-63597.79999997691,32596.0
-63699.69999997688,32634.0
-63660.799999976865,32656.0
-63286.69999997701,32454.0
-63331.299999977,32466.0
-63593.699999976794,32754.0
-63531.89999997694,32558.0
-64070.399999976726,32848.0
-64113.59999997662,32992.0
-64088.099999976585,33042.0
-63909.59999997656,33072.0
-64203.89999997647,33198.0
-64090.099999976555,33082.0
-64073.09999997663,32982.0
-64007.999999976644,32960.0
-63926.69999997672,32854.0
-64523.89999997647,33198.0
-64051.399999976595,33028.0
-64439.39999997648,33188.0
-64030.599999976606,33012.0
-63679.099999976715,32862.0
-64216.99999997657,33060.0
-64066.7999999766,33016.0
-63942.29999997667,32926.0
-63785.09999997669,32902.0
-63528.79999997675,32816.0
-63492.39999997664,32968.0
-63671.69999997671,32874.0
-63494.69999997678,32774.0
-63559.099999976774,32782.0
-63600.09999997682,32722.0
-63744.49999997681,32730.0
-63717.1999999768,32744.0
-63249.69999997697,32514.0
-63462.89999997695,32538.0
-63051.89999997705,32398.0
-63424.099999976876,32642.0
-63692.79999997681,32736.0
-63290.799999976894,32616.0
-62835.49999997706,32390.0
-62936.499999977044,32410.0
-63307.89999997705,32398.0
-63432.399999977046,32408.0
-63022.09999997702,32442.0
-63615.09999997683,32702.0
-63623.29999997683,32706.0
-63663.99999997688,32640.0
-63438.99999997695,32540.0
-63468.29999997687,32646.0
-63392.99999997692,32580.0
-63822.89999997678,32778.0
-63484.49999997675,32810.0
-62784.09999997705,32402.0
-63070.39999997702,32448.0
-63797.29999997686,32666.0
-63847.9999999767,32880.0
-63522.69999997684,32694.0
-64079.69999997665,32954.0
-63670.09999997667,32922.0
-63833.39999997668,32908.0
-63458.29999997673,32846.0
-63544.3999999767,32888.0
-63607.0999999766,33022.0
-63966.49999997655,33090.0
-64076.49999997664,32970.0
-63910.499999976724,32850.0
-64144.599999976694,32892.0
-64184.79999997669,32896.0
-63912.69999997681,32734.0
-64038.19999997673,32844.0
-63466.799999976894,32616.0
-63525.999999976906,32600.0
-63369.899999976966,32518.0
-63432.79999997692,32576.0
-63597.09999997686,32662.0
-63601.599999976854,32672.0
-63532.69999997698,32494.0
-63649.59999997697,32512.0
-63089.899999977024,32438.0
-62958.09999997696,32522.0
-63100.79999997698,32496.0
-63377.09999997698,32502.0
-63315.399999976944,32548.0
-62948.99999997704,32420.0
-63208.5999999771,32332.0
-63075.99999997711,32320.0
-62961.69999997726,32114.0
-62827.39999997735,31988.0
-63273.29999997721,32186.0
-63254.49999997719,32210.0
-63456.899999977155,32258.0
-63241.79999997726,32116.0
-63045.8999999772,32198.0
-63889.99999997702,32440.0
-63633.19999997715,32264.0
-63623.49999997706,32390.0
-62918.39999997719,32208.0
-62756.49999997728,32090.0
-63142.29999997731,32046.0
-62769.099999977385,31942.0
-63051.49999997735,31990.0
-62656.59999997745,31852.0
-63010.39999997725,32128.0
-63058.099999977196,32202.0
-63149.29999997709,32346.0
-63201.29999997709,32346.0
-63163.39999997718,32228.0
-63197.29999997709,32346.0
-62880.69999997716,32254.0
-63042.89999997707,32378.0
-63486.39999997696,32528.0
-63951.29999997683,32706.0
-63386.099999976905,32602.0
-63916.59999997681,32732.0
-63155.59999997694,32552.0
-62974.89999997707,32378.0
-63294.79999997701,32456.0
-63071.199999977005,32464.0
-63089.69999997703,32434.0
-63365.49999997697,32510.0
-63826.89999997678,32778.0
-64025.599999976854,32672.0
-63813.1999999768,32744.0
-63947.99999997676,32800.0
-64223.899999976646,32958.0
-64190.19999997673,32844.0
-64013.39999997686,32668.0
-63762.4999999769,32610.0
-63820.39999997681,32728.0
-63381.899999976966,32518.0
-63258.89999997701,32458.0
-63738.599999976956,32532.0
-63343.89999997711,32318.0
-63185.59999997709,32352.0
-62995.099999977065,32382.0
-62827.499999977175,32230.0
-63629.299999976975,32506.0
