Energy,Magnetization
-1144.0,140
-1320.0,146
-1540.0,80
-1444.0,152
-1396.0,36
-1372.0,94
-1388.0,52
-1480.0,44
-1516.0,2
-1400.0,140
-1232.0,62
-1364.0,80
-1512.0,72
-1440.0,58
-1360.0,90
-1276.0,144
-1368.0,20
-1280.0,-66
-1380.0,-58
-1552.0,-172
-1380.0,-118
-1232.0,-24
-1456.0,-66
-1348.0,2
-1292.0,102
-1388.0,148
-1336.0,12
-1356.0,-116
-1488.0,-96
-1456.0,-164
-1412.0,-174
-1356.0,-290
-1308.0,-154
-1496.0,-166
-1528.0,-112
-1424.0,-134
-1364.0,-264
-1304.0,-322
-1496.0,-296
-1520.0,-210
-1340.0,-184
-1288.0,-192
-1408.0,26
-1536.0,-52
-1344.0,-100
-1220.0,-78
-1320.0,-16
-1284.0,-78
-1288.0,-12
-1416.0,-14
-1400.0,40
-1344.0,98
-1280.0,-12
-1424.0,50
-1404.0,68
-1380.0,90
-1416.0,162
-1284.0,82
-1328.0,36
-1396.0,-102
-1344.0,-42
-1412.0,74
-1300.0,60
-1288.0,-88
-1460.0,-4
-1496.0,72
-1456.0,22
-1504.0,-110
-1440.0,-112
-1268.0,-140
-1276.0,-80
-1480.0,-30
-1404.0,-132
-1396.0,-36
-1320.0,-58
-1284.0,-102
-1260.0,-68
-1248.0,-2
-1364.0,86
-1356.0,50
-1448.0,106
-1472.0,68
-1388.0,30
-1372.0,-8
-1416.0,-16
-1376.0,-34
-1308.0,82
-1316.0,102
-1448.0,180
-1436.0,266
-1440.0,262
-1416.0,250
-1428.0,150
-1328.0,-76
-1280.0,-56
-1392.0,-40
-1444.0,-84
-1380.0,-58
-1344.0,-84
-1300.0,-12
-1324.0,-8
-1228.0,48
-1260.0,-78
-1420.0,-72
-1400.0,-188
-1344.0,-140
-1504.0,-16
-1516.0,-62
-1384.0,-96
-1404.0,-22
-1440.0,-6
-1472.0,-76
-1280.0,-28
-1264.0,-90
-1340.0,-126
-1308.0,-158
-1448.0,-46
-1328.0,-44
-1488.0,104
-1500.0,-18
-1344.0,-68
-1424.0,-48
-1416.0,36
-1352.0,30
-1380.0,-54
-1252.0,-70
-1320.0,-70
-1312.0,-90
-1308.0,-164
-1392.0,-136
-1368.0,-162
-1320.0,-148
-1376.0,-84
-1392.0,62
-1344.0,80
-1392.0,0
-1488.0,48
-1552.0,46
-1536.0,90
-1492.0,88
-1344.0,2
-1372.0,-56
-1432.0,-122
-1288.0,-78
-1220.0,-100
-1328.0,-32
-1320.0,-96
-1448.0,84
-1392.0,132
-1496.0,-2
-1432.0,-74
-1376.0,-182
-1304.0,-104
-1264.0,-64
-1424.0,-190
-1472.0,-64
-1484.0,-4
-1500.0,-130
-1436.0,-60
-1324.0,-52
-1328.0,-72
-1432.0,-14
-1480.0,-6
-1380.0,90
-1272.0,110
-1400.0,128
-1380.0,102
-1304.0,136
-1344.0,138
-1412.0,66
-1504.0,96
-1420.0,104
-1252.0,20
-1480.0,-36
-1304.0,-76
-1240.0,-102
-1340.0,-32
-1376.0,-14
-1272.0,-40
-1304.0,-32
-1452.0,-34
-1312.0,4
-1376.0,24
-1348.0,100
-1288.0,112
-1336.0,62
-1388.0,196
-1356.0,152
-1396.0,126
-1464.0,134
-1392.0,96
-1368.0,-42
-1444.0,34
-1356.0,68
-1312.0,6
-1368.0,66
-1644.0,52
-1420.0,44
-1344.0,-26
-1336.0,104
-1300.0,114
-1400.0,118
-1480.0,182
-1452.0,58
-1448.0,84
-1396.0,42
-1388.0,98
-1236.0,96
-1392.0,18
-1316.0,-56
-1440.0,-134
-1348.0,-120
-1312.0,-140
-1456.0,-156
-1432.0,2
-1332.0,-26
-1408.0,-14
-1408.0,-74
-1356.0,36
-1348.0,-60
-1416.0,-30
-1440.0,26
-1372.0,30
-1340.0,76
-1228.0,120
-1216.0,-34
-1460.0,-122
-1576.0,-144
-1444.0,-116
-1352.0,-136
-1504.0,-80
-1428.0,-58
-1488.0,58
-1420.0,50
-1544.0,50
-1396.0,66
-1504.0,134
-1364.0,86
-1216.0,-82
-1320.0,44
-1364.0,72
-1336.0,-24
-1268.0,16
-1372.0,-54
-1188.0,-30
-1292.0,-146
-1296.0,-68
-1332.0,-22
-1384.0,0
-1312.0,-60
-1280.0,-78
-1260.0,-64
-1400.0,12
-1524.0,-10
-1480.0,-32
-1328.0,-2
-1516.0,38
-1472.0,-32
-1480.0,22
-1584.0,74
-1472.0,68
-1288.0,-2
-1452.0,-64
-1504.0,-26
-1312.0,6
-1332.0,-80
-1192.0,-118
-1344.0,-62
-1424.0,84
-1484.0,6
-1264.0,-10
-1316.0,-44
-1404.0,-68
-1400.0,152
-1388.0,140
-1512.0,178
-1284.0,152
-1308.0,98
-1368.0,128
-1356.0,62
-1428.0,176
-1396.0,238
-1388.0,202
-1368.0,200
-1396.0,100
-1268.0,68
-1292.0,52
-1304.0,54
-1212.0,34
-1344.0,92
-1276.0,42
-1412.0,-54
-1256.0,-70
-1332.0,-128
-1220.0,-188
-1328.0,-28
-1508.0,28
-1556.0,-44
-1436.0,-118
-1356.0,-126
-1324.0,-154
-1284.0,-172
-1276.0,-68
-1300.0,64
-1408.0,100
-1400.0,118
-1432.0,88
-1324.0,32
-1616.0,74
-1380.0,78
-1340.0,40
-1424.0,26
-1500.0,112
-1444.0,48
-1384.0,28
-1388.0,-22
-1412.0,-64
-1468.0,-6
-1368.0,-10
-1312.0,-116
-1448.0,148
-1476.0,132
-1408.0,104
-1440.0,10
-1456.0,30
-1432.0,-82
-1460.0,16
-1380.0,-54
-1312.0,-142
-1364.0,-72
-1488.0,-80
-1336.0,-44
-1300.0,-142
-1264.0,-66
-1424.0,-28
-1512.0,12
-1496.0,-96
-1432.0,-72
-1392.0,-8
-1400.0,-118
-1388.0,-104
-1416.0,-32
-1248.0,12
-1380.0,-134
-1460.0,-44
-1396.0,2
-1428.0,-88
-1452.0,-140
-1500.0,-122
-1304.0,60
-1364.0,58
-1452.0,116
-1388.0,88
-1456.0,4
-1452.0,-74
-1444.0,34
-1472.0,-42
-1564.0,-128
-1476.0,-76
-1196.0,-38
-1364.0,-190
-1492.0,-128
-1276.0,-132
-1412.0,-134
-1372.0,-202
-1364.0,-174
-1420.0,-128
-1320.0,-92
-1484.0,-200
-1376.0,-122
-1428.0,-94
-1384.0,14
-1476.0,24
-1460.0,-64
-1456.0,24
-1400.0,68
-1356.0,60
-1568.0,130
-1420.0,114
-1324.0,136
-1464.0,120
-1400.0,80
-1524.0,58
-1392.0,68
-1292.0,58
-1372.0,200
-1348.0,192
-1396.0,142
-1360.0,46
-1324.0,116
-1188.0,8
-1216.0,-44
-1316.0,132
-1248.0,186
-1248.0,94
-1308.0,0
-1408.0,-48
-1352.0,-58
-1404.0,-148
-1272.0,-116
-1404.0,-158
-1396.0,-160
-1340.0,-72
-1496.0,20
-1440.0,34
-1324.0,84
-1320.0,172
-1492.0,206
-1288.0,158
-1400.0,142
-1404.0,78
-1572.0,88
-1544.0,96
-1532.0,68
-1512.0,72
-1368.0,108
-1620.0,152
-1444.0,172
-1584.0,184
-1424.0,222
-1536.0,210
-1416.0,264
-1552.0,214
-1452.0,226
-1448.0,224
-1364.0,200
