Energy,Magnetization
-3620.0,1066
-6192.0,1712
-7628.0,2042
-8660.0,2248
-8996.0,2322
-9188.0,2358
-9284.0,2374
-9228.0,2366
-9336.0,2384
-9472.0,2408
-9464.0,2404
-9496.0,2412
-9400.0,2396
-9340.0,2382
-9428.0,2402
-9556.0,2424
-9424.0,2402
-9412.0,2396
-9532.0,2418
-9368.0,2390
-9328.0,2382
-9392.0,2394
-9408.0,2396
-9220.0,2364
-9232.0,2364
-9288.0,2372
-9396.0,2394
-9500.0,2412
-9508.0,2412
-9428.0,2398
-9424.0,2402
-9524.0,2418
-9416.0,2398
-9416.0,2400
-9332.0,2384
-9260.0,2370
-9508.0,2416
-9292.0,2374
-9244.0,2368
-9248.0,2364
-9236.0,2366
-9160.0,2352
-9396.0,2396
-9468.0,2410
-9400.0,2394
-9436.0,2404
-9316.0,2380
-9328.0,2382
-9320.0,2378
-9316.0,2380
-9256.0,2372
-9260.0,2368
-9292.0,2374
-9376.0,2388
-9384.0,2392
-9360.0,2388
-9308.0,2378
-9400.0,2396
-9360.0,2390
-9280.0,2374
-9304.0,2374
-9248.0,2368
-9296.0,2374
-9288.0,2372
-9276.0,2374
-9320.0,2382
-9376.0,2390
-9404.0,2396
-9512.0,2416
-9468.0,2408
-9508.0,2414
-9460.0,2406
-9384.0,2392
-9244.0,2364
-9188.0,2358
-9276.0,2370
-9380.0,2386
-9396.0,2390
-9448.0,2404
-9492.0,2412
-9428.0,2402
-9540.0,2420
-9320.0,2384
-9444.0,2402
-9448.0,2402
-9428.0,2398
-9444.0,2402
-9472.0,2404
-9344.0,2388
-9328.0,2384
-9380.0,2394
-9268.0,2370
-9268.0,2372
-9268.0,2366
-9340.0,2382
-9396.0,2394
-9316.0,2376
-9308.0,2382
-9376.0,2392
-9284.0,2368
-9364.0,2388
-9356.0,2390
-9396.0,2396
-9352.0,2388
-9272.0,2370
-9336.0,2378
-9208.0,2360
-9336.0,2382
-9456.0,2404
-9324.0,2380
-9212.0,2366
-9212.0,2362
-9268.0,2374
-9376.0,2386
-9384.0,2388
-9248.0,2366
-9428.0,2402
-9444.0,2406
-9516.0,2416
-9436.0,2398
-9372.0,2390
-9416.0,2398
-9456.0,2404
-9368.0,2390
-9276.0,2368
-9280.0,2374
-9272.0,2374
-9312.0,2380
-9148.0,2348
-9352.0,2388
-9292.0,2376
-9456.0,2406
-9284.0,2374
-9184.0,2358
-9252.0,2368
-9324.0,2380
-9320.0,2376
-9204.0,2356
-9288.0,2376
-9272.0,2370
-9308.0,2376
-9276.0,2368
-9304.0,2376
-9444.0,2404
-9500.0,2412
-9384.0,2390
-9348.0,2388
-9320.0,2380
-9212.0,2358
-9404.0,2392
-9420.0,2400
-9352.0,2388
-9268.0,2374
