Energy,Magnetization
-1864.0,-80
-2524.0,-80
-2948.0,-82
-3156.0,-68
-3348.0,-54
-3512.0,-14
-3592.0,-8
-3676.0,-24
-3788.0,-66
-3820.0,-60
-3824.0,-52
-3912.0,-34
-3956.0,-22
-3948.0,-34
-3996.0,-32
-4044.0,-30
-4104.0,-34
-4108.0,-20
-4132.0,-52
-4140.0,-66
-4180.0,-70
-4100.0,-80
-4200.0,-80
-4236.0,-92
-4204.0,-126
-4216.0,-160
-4224.0,-180
-4252.0,-196
-4276.0,-142
-4252.0,-208
-4296.0,-174
-4300.0,-134
-4352.0,-128
-4360.0,-136
-4420.0,-170
-4360.0,-152
-4376.0,-138
-4384.0,-138
-4356.0,-146
-4364.0,-110
-4372.0,-136
-4360.0,-112
-4404.0,-112
-4428.0,-88
-4420.0,-82
-4412.0,-84
-4380.0,-86
-4444.0,-70
-4352.0,-80
-4416.0,-82
-4416.0,-110
-4412.0,-98
-4448.0,-82
-4484.0,-54
-4480.0,-58
-4500.0,-40
-4488.0,-68
-4432.0,-50
-4488.0,-20
-4464.0,2
-4476.0,-8
-4448.0,16
-4424.0,36
-4416.0,20
-4392.0,24
-4432.0,28
-4424.0,22
-4436.0,30
-4484.0,42
-4492.0,54
-4536.0,112
-4488.0,80
-4488.0,62
-4468.0,116
-4440.0,90
-4388.0,114
-4380.0,134
-4460.0,142
-4464.0,100
-4472.0,130
-4468.0,108
-4456.0,128
-4476.0,128
-4456.0,132
-4420.0,104
-4436.0,86
-4484.0,124
-4456.0,158
-4460.0,172
-4472.0,162
-4444.0,142
-4456.0,158
-4500.0,136
-4540.0,144
-4564.0,154
-4516.0,182
-4472.0,180
-4468.0,154
-4472.0,206
-4500.0,188
-4560.0,216
-4512.0,176
-4480.0,206
-4516.0,200
-4560.0,230
-4492.0,214
-4404.0,206
-4480.0,226
-4416.0,242
-4408.0,222
-4448.0,238
-4528.0,260
-4512.0,236
-4508.0,230
-4532.0,252
-4588.0,220
-4532.0,216
-4524.0,208
-4492.0,240
-4472.0,250
-4504.0,240
-4492.0,250
-4492.0,296
-4452.0,300
-4484.0,314
-4520.0,324
-4516.0,306
-4524.0,270
-4424.0,242
-4568.0,236
-4604.0,286
-4548.0,292
-4580.0,246
-4572.0,252
-4548.0,276
-4552.0,262
-4492.0,270
-4476.0,272
-4476.0,300
-4504.0,312
-4496.0,306
-4536.0,344
-4520.0,332
-4520.0,356
-4528.0,388
-4540.0,378
-4512.0,390
-4504.0,392
-4504.0,394
-4532.0,406
-4484.0,408
-4532.0,436
-4548.0,452
-4556.0,444
-4520.0,426
-4484.0,456
-4536.0,434
-4576.0,452
-4496.0,486
-4556.0,428
-4568.0,402
-4560.0,418
-4572.0,422
-4564.0,416
-4532.0,360
-4532.0,370
-4556.0,372
-4540.0,390
-4536.0,374
-4536.0,376
-4516.0,392
-4496.0,390
-4528.0,388
-4500.0,384
-4488.0,374
-4504.0,392
-4488.0,438
-4484.0,464
-4536.0,470
-4532.0,500
-4496.0,498
-4520.0,552
-4460.0,518
-4420.0,490
-4484.0,454
-4508.0,488
-4484.0,508
-4512.0,508
-4408.0,464
-4440.0,472
-4516.0,444
-4476.0,420
-4452.0,446
-4500.0,428
-4492.0,420
-4536.0,460
-4516.0,464
-4528.0,470
-4516.0,464
-4576.0,424
-4540.0,406
-4564.0,400
-4532.0,426
-4448.0,442
-4516.0,454
-4560.0,500
-4568.0,502
-4592.0,536
-4632.0,550
-4612.0,572
-4648.0,584
-4620.0,580
-4624.0,582
-4564.0,604
-4556.0,608
-4572.0,616
-4544.0,600
-4564.0,610
-4532.0,624
-4520.0,618
-4520.0,628
-4600.0,624
-4560.0,618
-4552.0,594
-4532.0,592
-4504.0,608
-4508.0,632
-4528.0,618
-4568.0,620
-4544.0,622
-4512.0,580
-4536.0,618
-4544.0,582
-4488.0,580
-4468.0,574
-4496.0,610
-4476.0,582
-4548.0,598
-4500.0,620
-4488.0,654
-4532.0,688
-4524.0,638
-4560.0,646
-4548.0,648
-4588.0,648
-4524.0,678
-4480.0,686
-4504.0,692
-4528.0,682
-4528.0,734
-4552.0,716
-4584.0,748
-4568.0,770
-4568.0,762
-4548.0,780
-4620.0,796
-4564.0,800
-4596.0,804
-4604.0,822
-4552.0,804
-4520.0,788
-4500.0,830
-4520.0,826
-4604.0,848
-4568.0,856
-4600.0,846
-4584.0,844
-4548.0,858
-4476.0,854
-4584.0,902
-4520.0,894
-4548.0,948
-4592.0,968
-4608.0,958
-4584.0,990
-4640.0,994
-4596.0,1008
-4524.0,1048
-4572.0,1056
-4560.0,1092
-4556.0,1058
-4556.0,1054
-4552.0,1030
-4552.0,1056
-4608.0,1092
-4576.0,1088
-4548.0,1050
-4612.0,1072
-4572.0,1074
-4616.0,1074
-4588.0,1080
-4564.0,1076
-4516.0,1078
-4520.0,1076
-4520.0,1072
-4540.0,1118
-4584.0,1108
-4620.0,1128
-4652.0,1132
-4624.0,1146
-4576.0,1172
-4580.0,1168
-4600.0,1182
-4580.0,1194
-4588.0,1156
-4624.0,1148
-4596.0,1148
-4616.0,1154
-4604.0,1142
-4664.0,1136
-4676.0,1146
-4636.0,1100
-4612.0,1110
-4592.0,1106
-4608.0,1162
-4592.0,1170
-4564.0,1172
-4548.0,1152
-4496.0,1154
-4568.0,1140
-4564.0,1134
-4556.0,1138
-4604.0,1192
-4588.0,1226
-4604.0,1260
-4556.0,1262
-4556.0,1268
-4548.0,1260
-4580.0,1274
-4620.0,1322
-4552.0,1298
-4628.0,1366
-4592.0,1394
-4616.0,1400
-4648.0,1434
-4660.0,1480
-4664.0,1496
-4636.0,1490
-4660.0,1488
-4676.0,1494
-4592.0,1462
-4608.0,1452
-4608.0,1452
-4604.0,1446
-4596.0,1438
-4628.0,1474
-4648.0,1516
-4608.0,1506
-4608.0,1504
-4692.0,1526
-4660.0,1526
-4600.0,1534
-4604.0,1570
-4668.0,1618
-4684.0,1604
-4656.0,1594
-4612.0,1554
-4608.0,1572
-4652.0,1588
-4608.0,1578
-4676.0,1590
-4664.0,1580
-4656.0,1608
-4704.0,1630
-4660.0,1628
