Energy,Magnetization
-7532.0,16
-10720.0,-162
-12580.0,-90
-13800.0,-60
-14652.0,-54
-15112.0,-12
-15664.0,-128
-15996.0,-58
-16236.0,-84
-16396.0,-144
-16576.0,-124
-16732.0,-152
-16856.0,-154
-16996.0,-164
-17116.0,-160
-17180.0,-206
-17268.0,-198
-17316.0,-284
-17400.0,-316
-17468.0,-320
-17548.0,-350
-17612.0,-342
-17648.0,-396
-17680.0,-406
-17716.0,-368
-17764.0,-326
-17788.0,-316
-17828.0,-356
-17872.0,-388
-17912.0,-366
-17948.0,-300
-17968.0,-306
-17996.0,-370
-18012.0,-368
-18024.0,-356
-18036.0,-392
-18048.0,-388
-18060.0,-374
-18076.0,-344
-18096.0,-336
-18112.0,-350
-18124.0,-366
-18148.0,-410
-18164.0,-396
-18176.0,-390
-18180.0,-430
-18188.0,-408
-18204.0,-434
-18220.0,-484
-18220.0,-454
-18228.0,-534
-18236.0,-524
-18248.0,-612
-18284.0,-646
-18296.0,-578
-18308.0,-606
-18316.0,-622
-18324.0,-568
-18328.0,-552
-18344.0,-662
-18356.0,-634
-18368.0,-586
-18376.0,-540
-18392.0,-526
-18400.0,-578
-18408.0,-576
-18424.0,-582
-18432.0,-616
-18436.0,-624
-18444.0,-626
-18444.0,-612
-18456.0,-510
-18472.0,-472
-18484.0,-516
-18484.0,-468
-18484.0,-518
-18496.0,-558
-18500.0,-642
-18508.0,-608
-18516.0,-670
-18528.0,-642
-18536.0,-652
-18540.0,-646
-18552.0,-636
-18560.0,-640
-18560.0,-612
-18568.0,-550
-18568.0,-548
-18576.0,-506
-18588.0,-530
-18592.0,-488
-18604.0,-456
-18612.0,-454
-18620.0,-444
-18628.0,-434
-18632.0,-402
-18636.0,-310
-18648.0,-284
-18648.0,-326
-18656.0,-370
-18656.0,-368
-18664.0,-402
-18672.0,-418
-18676.0,-430
-18676.0,-462
-18688.0,-426
-18696.0,-442
-18696.0,-408
-18700.0,-414
-18704.0,-490
-18708.0,-506
-18712.0,-514
-18724.0,-532
-18732.0,-512
-18732.0,-444
-18736.0,-436
-18740.0,-406
-18748.0,-378
-18748.0,-294
-18748.0,-288
-18760.0,-242
-18772.0,-226
-18780.0,-218
-18780.0,-230
-18780.0,-200
-18780.0,-176
-18784.0,-166
-18788.0,-146
-18788.0,-158
-18796.0,-110
-18800.0,-102
-18800.0,-72
-18800.0,-46
-18804.0,8
-18808.0,-16
-18812.0,-8
-18820.0,26
-18820.0,-10
-18824.0,-58
-18832.0,-58
-18832.0,-28
-18832.0,-64
-18832.0,-42
-18840.0,-50
-18844.0,-74
-18852.0,-58
-18852.0,-28
-18852.0,-74
-18852.0,-106
-18852.0,-114
-18856.0,-132
-18860.0,-18
-18860.0,16
-18864.0,14
-18868.0,-6
-18872.0,10
-18876.0,-34
-18884.0,-26
-18884.0,-70
-18884.0,-104
-18888.0,-68
-18892.0,-70
-18892.0,-80
-18900.0,-42
-18908.0,-102
-18916.0,-74
-18924.0,-42
-18928.0,26
-18928.0,14
-18932.0,78
-18936.0,38
-18936.0,46
-18936.0,44
-18940.0,120
-18948.0,144
-18948.0,138
-18948.0,154
-18952.0,144
-18960.0,160
-18960.0,112
-18960.0,100
-18960.0,70
-18960.0,86
-18960.0,70
-18964.0,82
-18964.0,78
-18964.0,142
-18964.0,170
-18968.0,148
-18968.0,160
-18972.0,148
-18972.0,174
-18976.0,148
-18976.0,112
-18976.0,116
-18980.0,72
-18984.0,64
-18992.0,68
-18996.0,116
-19000.0,100
-19000.0,108
-19000.0,102
-19000.0,92
-19000.0,136
-19008.0,152
-19012.0,172
-19012.0,194
-19012.0,154
-19012.0,188
-19012.0,200
-19012.0,234
-19016.0,202
-19016.0,152
-19020.0,186
-19020.0,148
-19020.0,164
-19020.0,164
-19020.0,216
-19020.0,248
-19024.0,268
-19024.0,308
-19024.0,276
-19024.0,292
-19024.0,314
-19024.0,350
-19028.0,358
-19028.0,368
-19032.0,370
-19032.0,326
-19036.0,338
-19036.0,342
-19036.0,316
-19036.0,316
-19036.0,312
-19036.0,328
-19036.0,342
