Energy,Magnetization
-6360.0,8
-8340.0,-106
-9240.0,-126
-9804.0,-220
-10212.0,-224
-10452.0,-330
-10888.0,-312
-10908.0,-202
-11180.0,-148
-11360.0,-58
-11300.0,-106
-11352.0,-356
-11364.0,-588
-11764.0,-884
-11900.0,-984
-11876.0,-946
-11824.0,-830
-11960.0,-798
-12108.0,-874
-12256.0,-870
-12400.0,-860
-12768.0,-834
-12496.0,-772
-12672.0,-732
-12704.0,-724
-12924.0,-816
-12748.0,-850
-12612.0,-968
-12416.0,-1000
-12480.0,-1086
-12704.0,-1164
-12604.0,-1258
-12560.0,-1174
-12600.0,-1104
-12736.0,-1098
-12836.0,-1008
-12960.0,-1208
-12960.0,-1038
-13012.0,-1182
-12868.0,-1232
-12700.0,-1246
-12888.0,-1254
-12984.0,-1270
-13024.0,-1314
-12920.0,-1374
-12968.0,-1302
-12904.0,-1192
-12764.0,-1062
-12964.0,-1198
-12832.0,-1182
-12908.0,-1310
-12768.0,-1302
-12964.0,-1256
-13164.0,-1236
-13232.0,-1208
-13276.0,-1234
-13344.0,-1326
-13372.0,-1370
-13424.0,-1200
-13368.0,-1032
-13208.0,-1100
-13204.0,-1160
-13484.0,-1276
-13296.0,-1214
-13328.0,-1402
-13616.0,-1486
-13512.0,-1516
-13460.0,-1522
-13516.0,-1352
-13524.0,-1276
-13284.0,-1186
-13092.0,-1136
-13224.0,-1180
-13256.0,-1066
-13376.0,-1108
-13248.0,-1098
-13440.0,-1138
-13220.0,-1166
-13372.0,-1172
-13488.0,-1382
-13408.0,-1252
-13620.0,-1154
-13728.0,-1152
-13560.0,-1048
-13724.0,-1162
-13520.0,-1022
-13536.0,-808
-13408.0,-860
-13576.0,-994
-13536.0,-1022
-13340.0,-1162
-13240.0,-1052
-13284.0,-1094
-13324.0,-1130
-13276.0,-1182
-13256.0,-1174
-13124.0,-1168
-13272.0,-1202
-13336.0,-1292
-13316.0,-1250
-13244.0,-1510
-13132.0,-1562
-13372.0,-1646
-13472.0,-1688
-13628.0,-1722
-13504.0,-1882
-13288.0,-2006
-13380.0,-2088
-13520.0,-2180
-13732.0,-2234
-13384.0,-2062
-13424.0,-2078
-13460.0,-2176
-13400.0,-2124
-13432.0,-2084
-13432.0,-2220
-13304.0,-2172
-13388.0,-1956
-13468.0,-2018
-13392.0,-2042
-13624.0,-1968
-13420.0,-2074
-13224.0,-2036
-13272.0,-1980
-13484.0,-2080
-13696.0,-2106
-13460.0,-2096
-13176.0,-1972
-13348.0,-2176
-13208.0,-2320
-13140.0,-2200
-13016.0,-2166
-13224.0,-2122
-13384.0,-2214
-13376.0,-2134
-13368.0,-2132
-13072.0,-2118
-13052.0,-2080
-13088.0,-1972
-13060.0,-2042
-13448.0,-2064
-13396.0,-2070
-13436.0,-2110
-13660.0,-1988
-13440.0,-2062
-13308.0,-2038
-13228.0,-2054
-13156.0,-2180
-13164.0,-2216
-13368.0,-2042
-13732.0,-2044
-13524.0,-1994
-13620.0,-2064
-13748.0,-2186
-13556.0,-1948
-13456.0,-2006
-13596.0,-2056
-13396.0,-1966
-13488.0,-1928
-13664.0,-2034
-13708.0,-2132
-13696.0,-2254
-13720.0,-2172
-13676.0,-2236
-13712.0,-2288
-13696.0,-2252
-13764.0,-2312
-13816.0,-2218
-13588.0,-2020
-13668.0,-1958
-13444.0,-1956
-13500.0,-2006
-13480.0,-2016
-13652.0,-1908
-13452.0,-1940
-13464.0,-2098
-13596.0,-2124
-13564.0,-2118
-13864.0,-2088
-13880.0,-2152
-13708.0,-2106
-13676.0,-2096
-13728.0,-2084
-13700.0,-2190
-13492.0,-2012
-13668.0,-1994
-13760.0,-1922
-13840.0,-1988
-13856.0,-1936
-13872.0,-1948
-13856.0,-2106
-13840.0,-2082
-13940.0,-2274
-14016.0,-2292
-13844.0,-2272
-13956.0,-2460
