Energy,Magnetization
-24852.0,260.0
-33252.0,670.0
-37420.0,80.0
-40208.0,64.0
-42456.0,276.0
-43760.0,192.0
-44408.0,-56.0
-44912.0,-156.0
-45976.0,-178.0
-46280.0,-324.0
-47192.0,-158.0
-47568.0,48.0
-47468.0,380.0
-48328.0,156.0
-49040.0,388.0
-49000.0,460.0
-48588.0,72.0
-48832.0,514.0
-48980.0,526.0
-49028.0,516.0
-49424.0,274.0
-49000.0,294.0
-49116.0,320.0
-49484.0,134.0
-49676.0,-96.0
-49916.0,166.0
-49592.0,568.0
-49916.0,744.0
-49840.0,838.0
-50424.0,644.0
-49916.0,794.0
-50184.0,776.0
-50068.0,1016.0
-50412.0,1408.0
-50120.0,1080.0
-50704.0,952.0
-50900.0,922.0
-51176.0,714.0
-51408.0,882.0
-52012.0,984.0
-51376.0,908.0
-51180.0,1444.0
-51472.0,1544.0
-51816.0,1372.0
-52260.0,1444.0
-51932.0,1464.0
-51980.0,1500.0
-51800.0,1070.0
-52164.0,1188.0
-52064.0,1004.0
-52060.0,728.0
-52348.0,702.0
-52304.0,660.0
-52284.0,658.0
-52104.0,582.0
-52304.0,318.0
-52344.0,578.0
-52500.0,894.0
-52340.0,896.0
-52176.0,1034.0
-51892.0,1160.0
-51836.0,1026.0
-52092.0,980.0
-52812.0,956.0
-52788.0,1140.0
-52560.0,1280.0
-52628.0,994.0
-51832.0,950.0
-52008.0,960.0
-52016.0,1172.0
-52248.0,1040.0
-51864.0,1034.0
-51980.0,1174.0
-52340.0,1346.0
-52536.0,868.0
-52800.0,642.0
-52664.0,988.0
-52560.0,1206.0
-52540.0,1216.0
-52468.0,1210.0
-52612.0,1432.0
-52068.0,1602.0
-52096.0,1706.0
-51996.0,1666.0
-51932.0,1806.0
-52320.0,2156.0
-52488.0,2528.0
-52376.0,2754.0
-52016.0,2952.0
-52148.0,3410.0
-52656.0,3470.0
-52256.0,3424.0
-52276.0,3190.0
-52296.0,3318.0
-52864.0,2996.0
-52592.0,3122.0
-53160.0,3570.0
-53224.0,3736.0
-53616.0,3770.0
-53524.0,3948.0
-53480.0,3848.0
-53980.0,4058.0
-53520.0,3848.0
-53096.0,4178.0
-53060.0,4450.0
-53456.0,4392.0
-52864.0,4254.0
-53088.0,4080.0
-52960.0,4344.0
-53052.0,4420.0
-53352.0,4522.0
-53488.0,4588.0
-53040.0,4594.0
-52732.0,4998.0
-52920.0,4972.0
-52960.0,4848.0
-52980.0,4562.0
-53376.0,4492.0
-53376.0,4450.0
-53232.0,4418.0
-53256.0,4640.0
-53420.0,5040.0
-53672.0,4908.0
-53104.0,4820.0
-53708.0,4724.0
-53604.0,4782.0
-53292.0,4882.0
-53260.0,4666.0
-53256.0,4592.0
-53128.0,4442.0
-53396.0,4294.0
-53136.0,4206.0
-52808.0,4070.0
-53380.0,3934.0
-53084.0,3758.0
-53552.0,3788.0
-53480.0,3710.0
-53592.0,4070.0
-53356.0,4008.0
-53508.0,4042.0
-53268.0,3808.0
-52948.0,3906.0
-53060.0,4090.0
-53576.0,3902.0
-53548.0,3970.0
-53488.0,4080.0
-53980.0,3880.0
-53984.0,3932.0
-53784.0,3700.0
-54036.0,3448.0
-53816.0,3180.0
-53944.0,3168.0
-54476.0,3336.0
-54192.0,3156.0
-54140.0,3098.0
-54248.0,3152.0
-53524.0,3190.0
-53608.0,3092.0
-53552.0,3018.0
-53608.0,3198.0
-54324.0,3050.0
-54100.0,3134.0
-54472.0,3290.0
-54096.0,3154.0
-54176.0,3140.0
-54256.0,3158.0
-54052.0,2948.0
-54168.0,3210.0
-54088.0,2940.0
-53792.0,3338.0
-53536.0,3450.0
-53100.0,3366.0
