Energy,Magnetization
-2116.0,704
-3422.0,1222
-4456.0,1680
-5278.0,1930
-5660.0,2040
-5990.0,2150
-5918.0,2130
-6062.0,2158
-6224.0,2184
-6304.0,2212
-6330.0,2214
-6278.0,2218
-6334.0,2242
-6310.0,2226
-6220.0,2196
-6146.0,2186
-6258.0,2206
-6364.0,2236
-6328.0,2228
-6296.0,2216
-6368.0,2236
-6318.0,2226
-6178.0,2202
-6342.0,2246
-6396.0,2252
-6522.0,2278
-6416.0,2256
-6248.0,2216
-5952.0,2124
-6180.0,2184
-6206.0,2190
-6188.0,2196
-6078.0,2166
-6292.0,2220
-6140.0,2188
-6212.0,2188
-6376.0,2248
-6416.0,2252
-6580.0,2272
-6356.0,2228
-6330.0,2222
-6410.0,2254
-6450.0,2254
-6368.0,2236
-6268.0,2220
-6154.0,2182
-6284.0,2232
-6396.0,2228
-6340.0,2240
-6414.0,2246
-6274.0,2222
-6322.0,2218
-6410.0,2246
-6130.0,2182
-6296.0,2220
-6180.0,2184
-6086.0,2170
-6082.0,2174
-6124.0,2184
-6234.0,2210
-6360.0,2228
-6392.0,2240
-6438.0,2262
-6280.0,2220
-6240.0,2212
-6182.0,2202
-6448.0,2260
-6394.0,2246
-6252.0,2208
-6290.0,2206
-6212.0,2176
-6232.0,2204
-6180.0,2196
-6206.0,2202
-6264.0,2204
-6152.0,2188
-6212.0,2196
-6158.0,2190
-6328.0,2228
-6214.0,2202
-6174.0,2182
-6202.0,2198
-6094.0,2178
-6198.0,2202
-6260.0,2220
-6190.0,2194
-6116.0,2168
-6262.0,2206
-6410.0,2254
-6442.0,2250
-6380.0,2240
-6402.0,2238
-6414.0,2254
-6422.0,2250
-6428.0,2256
-6396.0,2248
-6208.0,2204
-6348.0,2228
-6266.0,2214
-6102.0,2178
-6166.0,2178
-6286.0,2214
-6434.0,2250
-6364.0,2240
-6286.0,2226
-6334.0,2238
-6430.0,2246
-6198.0,2202
-6108.0,2172
-6090.0,2162
-6224.0,2200
-6256.0,2212
-6206.0,2198
-6322.0,2218
-6356.0,2236
-6462.0,2258
-6456.0,2260
-6508.0,2272
-6260.0,2204
-6086.0,2162
-5932.0,2120
-6088.0,2164
-6200.0,2196
-6328.0,2224
-6328.0,2228
-6164.0,2188
-6298.0,2218
-6384.0,2244
-6330.0,2234
-6206.0,2202
-6280.0,2216
-6158.0,2182
-6374.0,2242
-6396.0,2256
-6498.0,2266
-6490.0,2274
-6388.0,2240
-6298.0,2222
-6122.0,2170
-6038.0,2154
-6344.0,2236
-6264.0,2212
-6292.0,2228
-6126.0,2170
-6296.0,2224
-6332.0,2232
-6150.0,2182
-6080.0,2172
-6058.0,2158
-6094.0,2182
-6238.0,2206
-6368.0,2228
-6456.0,2260
-6330.0,2222
-6360.0,2232
-6330.0,2226
-6272.0,2216
-6296.0,2228
-6204.0,2204
-6202.0,2198
-6196.0,2176
-6102.0,2158
-6184.0,2192
-6026.0,2154
-6082.0,2170
-6188.0,2196
-5966.0,2150
-6008.0,2144
-6008.0,2148
-6110.0,2178
-6270.0,2206
-6294.0,2222
-6350.0,2242
-6256.0,2212
-6324.0,2232
-6270.0,2210
-6274.0,2210
-6086.0,2158
-6054.0,2150
-6172.0,2184
-6212.0,2216
-6252.0,2216
-6470.0,2262
-6354.0,2234
-6352.0,2236
-6492.0,2272
-6516.0,2264
-6440.0,2256
-6254.0,2206
-6238.0,2210
-6312.0,2220
-6368.0,2244
-6386.0,2242
-6354.0,2246
-6268.0,2216
-6220.0,2208
-6234.0,2202
-6366.0,2238
-6308.0,2232
-6320.0,2228
-6314.0,2222
-6266.0,2214
-6406.0,2254
-6460.0,2260
-6382.0,2246
-6362.0,2234
-6204.0,2188
-6322.0,2226
-6246.0,2206
-6260.0,2216
-6242.0,2210
-6120.0,2180
-6052.0,2164
-6108.0,2176
-6174.0,2194
-6346.0,2234
-6352.0,2240
-6470.0,2262
-6316.0,2228
-6352.0,2228
-6230.0,2202
-6216.0,2196
-6166.0,2194
-6150.0,2174
-6214.0,2190
-6178.0,2194
-6244.0,2200
-6290.0,2222
-6376.0,2240
-6426.0,2262
-6332.0,2232
-6338.0,2218
-5990.0,2134
-5924.0,2128
-5858.0,2098
-6174.0,2186
-6316.0,2228
-6260.0,2216
-6290.0,2230
-6300.0,2228
-6276.0,2212
-6278.0,2202
-6296.0,2224
-6294.0,2214
-6272.0,2220
-6244.0,2216
-6362.0,2238
-6398.0,2250
-6140.0,2188
-6332.0,2236
-6332.0,2236
-6372.0,2240
-6248.0,2216
-6326.0,2214
-6202.0,2202
-6134.0,2182
-6204.0,2196
-6170.0,2194
-6216.0,2204
-6342.0,2230
-6162.0,2178
-6320.0,2228
-6242.0,2202
-6212.0,2204
-6214.0,2202
-6470.0,2262
-6418.0,2250
-6376.0,2248
-6424.0,2248
-6392.0,2248
-6204.0,2204
-6312.0,2216
-6300.0,2216
-6334.0,2230
-6350.0,2238
-6294.0,2214
-6274.0,2222
-6406.0,2242
-6216.0,2216
-6246.0,2210
-6144.0,2180
-6224.0,2200
-6322.0,2230
-6226.0,2202
-6416.0,2244
-6452.0,2252
-6384.0,2236
-6254.0,2214
-6290.0,2202
-6380.0,2232
-6388.0,2228
-6506.0,2282
-6462.0,2274
-6372.0,2240
-6284.0,2220
-6218.0,2210
-6220.0,2196
-6222.0,2210
-6196.0,2204
-6226.0,2206
-6338.0,2234
-6314.0,2226
-6340.0,2232
-6284.0,2212
-6196.0,2204
-6226.0,2210
-6168.0,2188
-6230.0,2202
-6180.0,2192
-6030.0,2146
-6200.0,2188
-6210.0,2186
-6130.0,2154
-6078.0,2158
-6254.0,2210
-6424.0,2260
-6196.0,2192
-6250.0,2198
-6388.0,2244
-6316.0,2216
-6346.0,2218
-6354.0,2230
-6316.0,2236
-6206.0,2202
-6278.0,2214
-6286.0,2222
-6348.0,2236
-6356.0,2232
-6256.0,2216
-6420.0,2256
-6172.0,2200
-6186.0,2194
-6190.0,2202
-6172.0,2192
-6340.0,2240
-6472.0,2272
-6308.0,2224
-6104.0,2168
-6130.0,2174
-6170.0,2190
-6340.0,2236
-6130.0,2174
-6218.0,2202
-6202.0,2194
-6246.0,2214
-6214.0,2206
-6168.0,2184
-6140.0,2172
-6162.0,2194
-6392.0,2248
-6574.0,2290
-6362.0,2246
-6222.0,2206
-6328.0,2228
-6366.0,2238
-6298.0,2218
-6324.0,2224
-6158.0,2186
-6118.0,2170
-6042.0,2142
-6128.0,2168
-6044.0,2156
-6086.0,2170
-6198.0,2206
-6174.0,2174
-6170.0,2186
-6068.0,2160
-6200.0,2204
-6250.0,2202
-6284.0,2204
-6230.0,2198
-6172.0,2176
-6226.0,2198
-6228.0,2208
-6280.0,2224
-6324.0,2228
-6224.0,2200
-6156.0,2176
-6028.0,2132
-6060.0,2152
-6124.0,2164
-6302.0,2230
-6392.0,2248
-6428.0,2260
-6264.0,2224
-6302.0,2226
-6138.0,2186
-6280.0,2224
-6112.0,2184
-6220.0,2200
-6410.0,2258
-6158.0,2190
-6094.0,2174
-6112.0,2180
-6384.0,2244
-6234.0,2206
-6376.0,2244
-6198.0,2190
-6194.0,2202
