Energy,Magnetization
-1508.0,78
-1984.0,60
-2372.0,78
-2532.0,116
-2580.0,148
-2548.0,132
-2776.0,148
-2740.0,180
-2728.0,224
-2816.0,240
-2784.0,166
-2896.0,198
-2932.0,232
-2968.0,228
-2836.0,252
-2916.0,262
-3020.0,322
-3088.0,408
-3004.0,502
-3052.0,482
-3068.0,518
-3136.0,420
-3156.0,394
-3192.0,458
-3248.0,458
-3220.0,432
-3232.0,412
-3244.0,364
-3272.0,324
-3324.0,314
-3376.0,278
-3480.0,240
-3432.0,260
-3356.0,230
-3260.0,254
-3236.0,242
-3256.0,290
-3376.0,282
-3336.0,238
-3228.0,268
-3316.0,278
-3208.0,286
-3104.0,386
-3372.0,484
-3140.0,452
-3272.0,532
-3368.0,536
-3368.0,552
-3332.0,484
-3220.0,492
-3168.0,482
-3112.0,502
-3068.0,486
-3028.0,458
-3108.0,464
-3228.0,482
-3212.0,456
-3156.0,480
-3176.0,450
-3248.0,366
-3208.0,342
-3372.0,396
-3316.0,396
-3368.0,440
-3280.0,430
-3312.0,430
-3372.0,472
-3368.0,474
-3292.0,452
-3208.0,418
-3264.0,420
-3088.0,330
-3116.0,326
-3104.0,354
-3092.0,306
-3132.0,328
-3180.0,328
-3228.0,320
-3244.0,342
-3232.0,264
-3232.0,272
-3228.0,212
-3316.0,248
-3252.0,268
-3176.0,276
-3236.0,226
-3292.0,274
-3248.0,352
-3248.0,306
-3284.0,192
-3144.0,138
-3196.0,68
-3216.0,28
-3212.0,-30
-3272.0,-104
-3228.0,-146
-3184.0,-86
-3184.0,-50
-3260.0,-66
-3208.0,-48
-3252.0,8
-3168.0,60
-3232.0,-22
-3220.0,-56
-3152.0,-90
-3144.0,-102
-3308.0,-16
-3252.0,-22
-3352.0,-32
-3244.0,26
-3320.0,66
-3264.0,102
-3196.0,204
-3232.0,158
-3180.0,160
-3056.0,188
-3036.0,164
-3092.0,196
-3160.0,240
-3164.0,314
-3164.0,240
-3116.0,254
-3096.0,240
-3148.0,308
-3084.0,268
-3076.0,218
-3100.0,250
-3060.0,254
-3044.0,192
-3112.0,132
-3228.0,216
-3312.0,216
-3260.0,228
-3404.0,236
-3384.0,240
-3256.0,280
-3208.0,244
-3292.0,250
-3304.0,262
-3232.0,226
-3176.0,246
-3016.0,222
-2972.0,220
-3068.0,152
-3088.0,110
-3056.0,44
-3092.0,102
-3064.0,74
-3024.0,72
-3036.0,-12
-3200.0,38
-3140.0,8
-3000.0,-42
-3052.0,-4
-3104.0,-58
-2956.0,-62
-2960.0,-28
-3096.0,20
-2936.0,2
-2932.0,-14
-2920.0,-12
-2996.0,-64
-2880.0,54
-2924.0,46
-2936.0,2
-2940.0,-40
-2884.0,8
-2904.0,-60
-2932.0,-78
-2976.0,-28
-2936.0,-68
-2976.0,-84
-3100.0,-146
-3136.0,-160
-3104.0,-88
-3132.0,-114
-3088.0,-94
-3080.0,-194
-3024.0,-206
-3192.0,-298
-3208.0,-282
-3284.0,-282
-3276.0,-366
-3396.0,-374
-3340.0,-394
-3284.0,-404
-3256.0,-416
-3284.0,-396
-3304.0,-348
-3120.0,-294
-3084.0,-220
-3120.0,-264
-3052.0,-294
-3056.0,-268
-3116.0,-230
-3024.0,-248
-3180.0,-224
-3300.0,-258
-3296.0,-220
-3256.0,-252
-3212.0,-158
-3148.0,-234
-3160.0,-220
-3136.0,-232
-3164.0,-208
-3204.0,-204
-3140.0,-242
-3132.0,-312
-3140.0,-386
-3144.0,-318
-3208.0,-292
-3256.0,-160
-3172.0,-136
-3144.0,-176
-3260.0,-240
-3276.0,-212
-3192.0,-216
-3244.0,-230
-3288.0,-230
-3212.0,-238
-3144.0,-272
-3076.0,-274
-3160.0,-342
-3128.0,-420
-3056.0,-418
-3040.0,-326
-3132.0,-298
-3104.0,-326
-3144.0,-338
-3104.0,-410
-3092.0,-390
-3204.0,-396
-3088.0,-380
-3168.0,-412
-3352.0,-490
-3316.0,-536
-3344.0,-596
-3376.0,-550
-3388.0,-536
-3336.0,-514
-3328.0,-438
-3292.0,-500
-3284.0,-484
-3032.0,-426
-3176.0,-454
-3072.0,-436
-3128.0,-424
-3144.0,-512
-3180.0,-456
-3176.0,-530
-3156.0,-544
-3296.0,-444
-3372.0,-382
-3364.0,-412
-3392.0,-396
-3396.0,-424
-3340.0,-468
-3276.0,-454
-3408.0,-532
-3380.0,-562
-3356.0,-548
-3364.0,-626
-3384.0,-568
-3372.0,-574
-3364.0,-668
-3292.0,-690
-3296.0,-712
-3276.0,-680
-3284.0,-692
-3240.0,-650
-3180.0,-632
-3172.0,-712
-3112.0,-788
-3124.0,-738
-3212.0,-726
-3236.0,-778
-3192.0,-854
-3444.0,-950
-3368.0,-916
-3352.0,-958
-3452.0,-1046
-3300.0,-992
-3436.0,-1014
-3428.0,-1048
-3524.0,-1018
-3460.0,-966
-3392.0,-944
-3416.0,-976
-3400.0,-1018
-3264.0,-990
-3372.0,-1072
-3388.0,-1082
-3304.0,-1038
-3472.0,-1064
-3372.0,-1086
-3348.0,-1032
-3420.0,-1014
-3412.0,-1166
-3480.0,-1208
-3524.0,-1196
-3560.0,-1176
-3512.0,-1160
-3596.0,-1180
-3484.0,-1184
-3492.0,-1158
-3580.0,-1198
-3452.0,-1180
-3588.0,-1160
-3540.0,-1186
-3540.0,-1248
-3624.0,-1192
-3568.0,-1180
-3620.0,-1204
-3600.0,-1174
-3456.0,-1128
-3504.0,-1152
-3560.0,-1206
-3476.0,-1180
-3552.0,-1166
-3548.0,-1152
-3536.0,-1108
-3448.0,-1074
-3520.0,-1110
-3444.0,-1062
-3360.0,-1044
-3384.0,-1154
-3288.0,-1140
-3272.0,-1144
-3396.0,-1106
-3432.0,-1168
-3312.0,-1130
-3220.0,-1068
-3324.0,-1010
-3608.0,-1042
-3500.0,-978
-3540.0,-952
-3580.0,-962
-3516.0,-920
-3448.0,-888
-3396.0,-870
-3340.0,-818
-3324.0,-782
-3356.0,-806
-3088.0,-794
-3256.0,-820
-3180.0,-824
-3416.0,-846
-3364.0,-838
-3352.0,-832
-3328.0,-740
-3332.0,-716
-3400.0,-630
-3312.0,-586
-3236.0,-600
-3284.0,-610
-3180.0,-512
-3244.0,-480
-3260.0,-482
-3288.0,-390
-3164.0,-430
-2996.0,-372
-2988.0,-338
-2916.0,-326
-3044.0,-396
-3072.0,-340
-3192.0,-420
-3136.0,-368
-3076.0,-372
-3068.0,-386
-3060.0,-328
-3092.0,-314
-3084.0,-300
-3280.0,-334
-3256.0,-310
-3200.0,-380
-3248.0,-422
-3136.0,-396
-3200.0,-476
-3328.0,-512
-3316.0,-436
-3320.0,-420
-3208.0,-366
-3324.0,-340
-3364.0,-366
-3256.0,-382
-3284.0,-324
-3256.0,-312
-3328.0,-218
-3404.0,-210
-3412.0,-256
-3316.0,-354
-3376.0,-298
-3424.0,-318
-3396.0,-230
-3260.0,-190
-3332.0,-250
-3364.0,-292
-3304.0,-304
-3392.0,-312
-3276.0,-278
-3216.0,-304
-3188.0,-264
-3232.0,-312
-3200.0,-298
-3396.0,-368
-3416.0,-400
-3428.0,-358
-3428.0,-404
-3520.0,-376
-3332.0,-364
-3288.0,-364
-3256.0,-344
-3276.0,-358
-3312.0,-344
-3108.0,-296
-3176.0,-270
-3176.0,-270
-3124.0,-256
-3004.0,-228
-3108.0,-192
-3068.0,-202
-3232.0,-202
-3396.0,-228
-3204.0,-330
-3268.0,-394
-3240.0,-402
-3120.0,-404
-3136.0,-470
-3184.0,-492
-3240.0,-518
-3240.0,-452
-3216.0,-472
-3224.0,-424
-3260.0,-414
-3208.0,-490
-3220.0,-464
-3372.0,-530
-3424.0,-614
-3344.0,-622
-3304.0,-620
-3348.0,-576
-3380.0,-532
-3260.0,-440
-3384.0,-464
-3444.0,-488
-3428.0,-402
-3416.0,-374
-3328.0,-344
-3336.0,-326
-3328.0,-310
-3368.0,-406
-3220.0,-376
-3176.0,-410
-3264.0,-404
-3368.0,-392
-3440.0,-446
-3476.0,-412
-3448.0,-470
-3424.0,-430
-3388.0,-422
-3360.0,-404
-3304.0,-388
-3140.0,-292
-3180.0,-324
-3060.0,-370
-3164.0,-266
-3168.0,-292
-3228.0,-246
-3212.0,-186
-3288.0,-132
-3204.0,-114
-3196.0,-126
-3140.0,-68
-3312.0,-56
-3292.0,44
-3208.0,-22
-3196.0,-48
-3240.0,18
-3296.0,64
-3332.0,86
-3344.0,142
-3408.0,156
-3356.0,148
-3436.0,90
-3348.0,34
-3380.0,96
-3424.0,108
-3336.0,136
-3324.0,138
-3388.0,162
